type,queue,priority,language,tag_1,tag_2,tag_3,tag_4,text_preview
Incident,Technical Support,high,de,Technical,Crash,Outage,Customer,crash während der kampagneinschaltung heute sehr geehrte kundendienst ich schreibe ihnen um einen te
Incident,IT Support,high,de,Technical,Security,Bug,Crash,verschlüsselung medizinischer daten versagt plötzlich die verschlüsselung der medizinischen daten is
Incident,Technical Support,high,en,Security,Network,Performance,IT,problem with wi fi security detected an unauthorized access attempt on the healthcare system which p
Request,Billing and Payments,high,en,Feedback,IT,Tech Support,,support for investment strategy optimization could offer assistance in optimizing investment strateg
Incident,Customer Service,low,en,Crash,Technical,Outage,Resolution,emergency support for platform crash the investment data analytics platform experienced an unexpecte
Incident,Technical Support,medium,en,Technical,Customer,Bug,Feedback,issue with investment forecasts hello customer support i am contacting you to report a technical mal
Request,Customer Service,medium,de,Feature,Product,Feedback,IT,skalierbare merkmale für saas lösungen des projektmanagement bereichs sehr geehrte kundenservice ich
Change,Customer Service,low,en,Feature,Feedback,IT,Tech Support,enhance project management efficiency with additional tools customer support we are reaching out to 
Problem,Billing and Payments,low,de,Billing,Payment,Security,Bug,fehler throughout payment for security software the payment processing for my security software has 
Request,Customer Service,low,de,Customer,Marketing,Digital,Strategy,frage zu digitalen markenstrategien für wachstum sehr geehrte kundenservice ich schreibe an um mehr 
Request,Technical Support,high,de,Documentation,Feature,IT,Tech Support,brauche beratung für api integration mahnung an den kundenservice team führen sie eine umfassende do
Request,Returns and Exchanges,medium,en,Technical,Product,Feedback,Guidance,enhancing investment portfolios for financial firms via data analytics hello i require assistance wi
Request,Technical Support,high,en,Technical,Product,Documentation,Guidance,requirements for saas project management tool could you please specify the minimum system requiremen
Problem,Technical Support,high,en,Security,Bug,IT,Tech Support,healthcare provider s system experienced a data breach posing a risk to the security of patient medi
Incident,Service Outages and Maintenance,medium,de,Bug,Outage,Performance,Network,technische probleme mit der datenanalyse plattform die datenanalyse plattform zeigt intermittente au
Change,Service Outages and Maintenance,high,en,Security,IT,Tech Support,Hardware,strengthened security for medical data customer support br br i am writing to draw your attention to
Request,Technical Support,medium,en,Security,Technical,Documentation,Guidance,security protocols for medical data storage on windows 10 pro i am seeking information on the best s
Problem,Technical Support,high,en,Security,IT,Tech Support,Performance,support for security there have been unauthorized access attempts to medical data due to outdated se
Request,Service Outages and Maintenance,high,en,Technical,Product,Analytics,Investment,investment analytics tools inquiry hello customer support i am writing to enquire about analytics to
Problem,Returns and Exchanges,low,en,Security,Network,IT,Tech Support,unapproved entry into hospital network seek assistance with security intrusion
Incident,Product Support,medium,en,Feedback,Performance,Marketing,Documentation,reduced participation in marketing initiative customer support we are observing low engagement level
Change,Billing and Payments,low,en,Billing,Payment,Integration,Feature,adjust billing integration parameters adjust billing integration compatibility for salesforce crm an
Request,Product Support,low,de,Product,Tool,Finance,Analysis,verfügbare investitionsinstrumente für quickbooks online ich benötige datenanalysewerkzeuge die sich
Problem,Returns and Exchanges,high,en,Bug,Performance,Network,IT,problem with data synchronization between devices customers encounter sync delays even after restart
Incident,Technical Support,medium,en,Outage,Network,Technical,Resolution,issue with unstable data feeds and network failures hello customer support i wanted to inform you ab
Incident,Sales and Pre-Sales,medium,en,Feedback,Sales,Marketing,Performance,support for enhancing marketing campaigns the digital campaigns by the marketing agency are underper
Request,Technical Support,medium,en,Product,Tool,Analytics,Guidance,support for excel analytics tools hello customer support i am contacting you to seek advice on the m
Problem,Product Support,high,de,Technical,Customer,Sync,API,probleme beim synchronisieren von projektterminplänen sehr geehrte kundensupport ich möchte ihnen ei
Incident,IT Support,high,en,Security,Network,Virus,IT,unapproved access event in hospital it networks detected an unapproved access event targeting the ho
Incident,Technical Support,high,en,Technical,Billing,Product,Outage,problem with campaign analytics dear customer support br br i hope this message finds you well i am 
Request,Product Support,high,en,Feedback,IT,Tech Support,Documentation,support for digital strategies integration seeking assistance in implementing digital strategies wit
Problem,Technical Support,medium,en,Technical,Bug,Documentation,Guidance,data import met with challenges today the process of importing data is encountering issues possibly 
Problem,Technical Support,high,de,Bug,Security,Network,Performance,sehr geehrte kundenservice wir möchten ihnen melden dass wir bei unserem it system schwerwiegende fe
Change,Technical Support,low,de,Feedback,Feature,Documentation,Sales,aktualisierung der digitalen marketingstrategie zur steigerung der markenpräsenz sehr geehrte kunden
Incident,Product Support,medium,en,Technical,Product,Bug,Performance,problems with timeline synchronization following printer setup the timelines in my project have beco
Request,Sales and Pre-Sales,high,de,Feature,Documentation,Feedback,IT,request for data solutions details could you provide more details on data analysis solutions optimiz
Request,Customer Service,high,en,Customer,Product,Guidance,Discussion,improving investment portfolio strategies i am seeking details on data analytics tools that can enha
Request,Billing and Payments,medium,de,Billing,Payment,Customer,,inquiry about payment methods for mailchimp services online hello customer support i am writing to i
Incident,Product Support,high,en,Technical,Hardware,Crash,Resolution,problem encountered while updating dashboards the data analytics dashboards experienced an update fa
Incident,Technical Support,high,en,Technical,Bug,Configuration,DigitalCampaign,trouble with digital campaign launch dear support team br br i am contacting you to inform you about
Incident,Technical Support,high,en,Bug,Performance,Disruption,IT,dear customer support i am reporting a critical issue with the data integration system that has resu
Change,Returns and Exchanges,high,en,Performance,Product,Feature,Feedback,dear customer support i am writing to request an adjustment in the investment tracking and analytics
Incident,Billing and Payments,low,de,Billing,Account,Refund,Payment,plötzlich auftretende unerwartete abonnementgebühren auf dem konto letzte woche entdeckte ich unerwa
Request,Human Resources,medium,en,Technical,Integration,Marketing,PyTorch,query regarding integration of pytorch with google nest wifi for marketing is it possible to get det
Change,Customer Service,medium,en,Technical,Customer,Performance,Feedback,request for assistance in optimizing investment analytics dashboard dear customer support i am reach
Change,Human Resources,medium,de,Feedback,Product,Feature,Sales,unterstützung für digitale marketingstrategien die aktualisierung der digitalen marketingtools die e
Incident,Product Support,low,en,Performance,Bug,Software,IT,dear customer support i am encountering issues with the investment performance analytics report afte
Incident,Product Support,low,de,Technical,Billing,Integration,CRM,issue with investment reports dear customer support n ni would like to bring to your attention an is
Request,Billing and Payments,medium,en,Security,Compliance,Documentation,IT,data security protocols could you furnish details on the data security measures and compliance with 
Request,Sales and Pre-Sales,low,de,Security,IT,Tech Support,,support for azure requesting details on encryption of medical data related to it solutions in micros
Problem,Product Support,medium,de,Security,Alert,Performance,Bug,alert for potential data loss a potential data loss incident has been identified in the it systems o
Incident,Sales and Pre-Sales,medium,en,Technical,Project,Synchronization,Team,issues with synchronization of project timelines project timelines are failing to synchronize among 
Incident,Technical Support,high,de,Security,Breach,Technical,Disruption,medizinische datenschutzverletzung im zoho crm hallo kundensupport ich mache ihnen mitteilung über e
Request,Billing and Payments,low,en,Technical,Product,Database,Hardware,support inquiry for joystick with oracle database 19c can joystick be integrated with oracle databas
Incident,General Inquiry,low,de,Login,Network,Outage,Resolution,issue regarding connection dear customer support i am writing to report an unexpected logout from sa
Incident,Product Support,low,de,Performance,Feedback,IT,Tech Support,support for digital campaign performance issues the recent campaign performance was underwhelming wi
Problem,Billing and Payments,high,de,Billing,Payment,Bug,Performance,issues with invoice unexpected invoice discrepancies for multiple products due to a technical error 
Problem,Technical Support,high,en,Security,Outage,Virus,IT,potential compromise of medical data due to security breach a security breach has been detected whic
Problem,Product Support,medium,de,Bug,Performance,Feature,Documentation,fehlerhafte datenanalyseergebnisse eine finanzfirma kämpft mit fehlerhaften datenanalyseergebnissen 
Problem,Product Support,high,en,Campaign,Analysis,Adjustment,Engagement,campaign efficiency issues arising from algorithm the campaign is underperforming with minimal engag
Change,Product Support,medium,en,Customer,Strategy,Marketing,Performance,refresh digital marketing strategy for enhanced brand growth dear customer support n ni am contactin
Incident,IT Support,medium,en,Network,Issue,Storage,Permission,unanticipated failure during medical data transfer dear customer support i am contacting you to repo
Change,Technical Support,medium,en,Technical,Security,Guidance,Documentation,enhanced encryption for medical data storage i require assistance in implementing improved encryptio
Request,Technical Support,high,de,Feature,Documentation,IT,Tech Support,einrichtung von clickup sap erp systemen herausforderungen bei der integration von clickup sap erp s
Incident,Product Support,high,en,Security,Virus,IT,Tech Support,concern about data breach a healthcare organization has encountered a possible data breach involving
Problem,Customer Service,high,de,"Technical,Customer,Product,Integration,Dashboard,Update",,,,probleme mit der aktualisierung von dashboards metriken in clickup sehr geehrte kundenservice n nich
Request,Billing and Payments,medium,en,Billing,Payment,Documentation,,medical data could you please specify the payment methods available for the medical data storage ser
Problem,Technical Support,medium,de,Technical,Integration,API,Bug,integrationsversuch misslingt aufgrund eines api schlüssel unstimmigkeitsproblems die daten werden a
Incident,Customer Service,low,de,Bug,Network,Performance,IT,technische hilfeanfrage sehr geehrte kundenservice ich möchte mich mit einer anfrage zu unserem saas
Problem,Billing and Payments,medium,en,Billing,Refund,Payment,Disruption,concern regarding monthly subscription billing dear customer support i hope this message finds you w
Request,Technical Support,high,en,Technical,Security,Documentation,Guidance,data security guidelines for medical data on apache hadoop hello customer support i am writing to re
Incident,IT Support,medium,de,Performance,IT,Tech Support,,service inquiry regarding analysis software issues dear customer support team i am writing to report
Request,Product Support,low,en,Feature,Documentation,Feedback,,options for integrating scalability features can you provide details on scalability features
Request,Technical Support,high,en,Technical,Customer,Product,Feedback,support for digital audio on kopfhörer we have noted your request to optimize your headphones for ap
Change,Service Outages and Maintenance,high,en,Performance,Maintenance,IT,Tech Support,enhance server capacity require to boost server capacity to enhance performance for peak usage in th
Problem,Product Support,medium,en,Security,Breach,Hardware,Technical,urgent medical data breach via unsecured kraken z63 device hello customer support team br br i am co
Request,Service Outages and Maintenance,high,en,Security,Documentation,Feedback,IT,seeking guidance on securing medical data across products and services i am in need of guidance on s
Problem,Technical Support,medium,de,Bug,Performance,Documentation,Feedback,unpräzise investementsleistungsindikatoren in analytics dashboards die analytics dashboards zeigen u
Request,Billing and Payments,high,en,Billing,Product,Sales,Payment,inquiry on sap erp central component 6 0 pricing hello customer support i am contacting you to reque
Incident,Technical Support,medium,de,Technical,Outage,Bug,Integration,kritisches integrationsschleife problem melden sehr geehrte kundensupport n nich schreibe ihnen um e
Problem,IT Support,high,en,Technical,Outage,Bug,Crash,problem with saas system the saas system has failed leading to data loss and hindering our workflow 
Incident,Technical Support,high,en,Security,Breach,Disruption,Privacy,concern about identified medical data breach greetings from customer support we have noticed an unau
Problem,Product Support,high,de,Network,Performance,Disruption,IT,regular connection problems with saas platform on multiple devices dear customer support i would lik
Incident,Technical Support,high,de,Security,IT,Tech Support,Alert,issue with medical data security unauthorised attempts to access medical data systems have been enco
Incident,Technical Support,high,de,Performance,Outage,Disruption,Feedback,issues with website usage dear customer service i would like to report a sudden and unexplained drop
Incident,Customer Service,low,en,Performance,Network,IT,Tech Support,project dashboard loading issues the project management dashboard is experiencing intermittent loadi
Problem,Technical Support,high,de,Network,IT,Tech Support,Performance,technical support for connection issues experiencing connection problems impacting productivity reso
Incident,Product Support,low,de,Technical,Customer,Product,Bug,synchronisationsprobleme bei projekt aufgaben hallo kundensupport ich melde hier ein problem mit der
Request,Returns and Exchanges,low,en,Feedback,Sales,IT,Tech Support,request for information on digital strategies and services hello customer support i am writing to in
Problem,Customer Service,medium,de,Login,Support,Customer,Product,hilfe bei login problemen für produkte können sie mir jetzt helfen
Request,Customer Service,low,de,Technical,Network,Marketing,Integration,erhöhen des markenwachstums durch cisco ios 15 4 und aws welche digitalen strategien fördern das mar
Incident,Technical Support,high,en,Security,IT,Tech Support,,assistance needed for a data breach issue in hospital systems
Change,Technical Support,medium,en,Feedback,Sales,IT,Tech Support,enhance digital marketing strategies efficiently request assistance in optimizing digital marketing 
Change,IT Support,medium,de,Technical,Integration,Guidance,Tool,enhancement of data analytics tools i am writing to seek assistance in updating our data analytics t
Incident,Customer Service,medium,de,Login,IT,Tech Support,Performance,unterstützung bei login problemen erforderlich wir haben interne login probleme die möglicherweise a
Problem,Technical Support,medium,en,Security,Virus,Bug,Performance,concern over medical records data breach and confidentiality there was a data breach affecting medic
Incident,Customer Service,medium,de,Performance,Feedback,Adjustment,Strategy,issue regarding digital campaign performance the digital campaigns did not achieve the expected succ
Request,Technical Support,high,en,Security,Feedback,Safety,Information,safety measures for health information management i am worried about the safety of health informatio
Request,Technical Support,high,en,Technical,Documentation,Integration,Smartsheet,required assistance for smartsheet and postgresql integration i am writing to request documentation 
Incident,Product Support,high,de,Feedback,IT,Tech Support,,service support for decrease participation
Incident,Product Support,low,de,Security,IT,Tech Support,Performance,autorisierter zugangscarier des klinik it systems entdeckt es wurde ein autorisierter zugangscarier 
Incident,Technical Support,medium,de,Crash,Technical,Bug,Resolution,support for software issues a crash has occurred
Change,IT Support,high,en,Feature,Feedback,Product,Performance,improve data analytics software customer support requesting enhancements to data analytics tools cur
Incident,Returns and Exchanges,medium,en,Security,Network,Incident,Virus,serious incident unauthorized access to medical data an incident involving unauthorized access to me
Request,Customer Service,high,en,Security,Documentation,Product,Feedback,secure medical data protection in hospital environments we value your interest in symantec endpoint 
Request,Product Support,high,en,Feedback,Sales,Tech Support,,support for enhancing brand growth through digital strategies looking for insights on digital strate
Change,Customer Service,medium,en,Feedback,Sales,IT,Tech Support,asking for an update on the digital strategy to improve visibility customer support requesting an up
Incident,Customer Service,low,en,Feedback,Performance,Documentation,IT,support for digital marketing campaign the recent digital marketing campaign has seen lower engageme
Incident,Product Support,low,en,Security,Virus,IT,Tech Support,identified unauthorised access to hospital systems there has been a recent detection of unauthorized
Incident,Product Support,medium,de,Customer,Campaign,Performance,Resolution,problem mit der social media kampagne ich schreibe ihnen um einen fehler in unserer neuesten social 
Request,Product Support,medium,en,Product,Feature,Integration,Documentation,project timelines in saas integrating project timelines into a saas solution
Incident,Product Support,medium,en,Feedback,Performance,IT,Tech Support,request for support on recent digital campaign i am seeking assistance regarding the recent digital 
Incident,Technical Support,medium,en,Technical,Bug,Performance,Documentation,investment modeling outputs are incorrect here is a concise problem description what happened invest
Problem,Technical Support,high,de,Performance,Bug,Feature,IT,probleme mit effizienz bei digitalen strategietools wir begegnen effizienzproblemen bei unserer digi
Problem,IT Support,medium,de,Technical,Login,Bug,Crash,probleme beim laden der website analyse dashboards die website analyse dashboards laden nicht bei de
Incident,Product Support,medium,de,Security,Bug,Performance,IT,sicherheitsanliegen bei gesundheitsdiensten es wurde ein verstoß gegen die datensperrung bei gesundh
Change,Technical Support,medium,de,Feature,Feedback,Performance,Documentation,steigern der datenanalyse bitten sie um verbesserungen der datenanalyseintegration und die optimieru
Incident,IT Support,high,en,Bug,Crash,Performance,Disruption,report on software anomalies dear support team i am encountering frequent software crashes in variou
Change,Service Outages and Maintenance,medium,de,Outage,Disruption,Performance,IT,bekanntmachung über neuerliche dienstausfälle geachte kundenservice bitte die unterstützung bei den 
Request,Customer Service,medium,en,Feature,Documentation,IT,Tech Support,docker integration guidance required is it possible to get details on how to integrate docker 20 10 
Incident,Technical Support,low,en,Login,Bug,Crash,Resolution,login issue possibly related to caching today morning the login process failed unexpectedly this cou
Request,Technical Support,medium,en,Customer,Marketing,Strategy,Growth,inquiry on effective digital strategies for brand growth by marketing agencies hello customer suppor
Request,Product Support,high,en,Feedback,Sales,Feature,,hello i am seeking recommendations on using zapier with drupal commerce to enhance our digital marke
Problem,Billing and Payments,low,de,Billing,Feedback,Correction,Guidance,rechnungsfehler gemeldet sehr geehrte kundenservice n nich möchte ihnen mitteilen dass ich kürzlich 
Change,Service Outages and Maintenance,high,de,Infrastructure,Outage,Disruption,Recovery,urgent request for data analysis infrastructure changes dear customer support i am writing to urgent
Problem,Technical Support,low,en,Security,Incident,Bug,IT,incident of security breach in hospital systems there has been an unauthorized access to medical dat
Request,Customer Service,low,en,Customer,Strategy,Expansion,Services,strategy for brand expansion i am contacting you to explore the digital strategies and brand growth 
Incident,Technical Support,high,en,Technical,Security,Breach,Documentation,data encryption issue happened today there was a data encryption failure leading to the exposure of 
Incident,Technical Support,medium,en,Technical,Customer,Product,Bug,problem with video uploads on mini beamer dear customer support n ni am experiencing difficulties up
Problem,Technical Support,medium,en,Technical,Product,Bug,Feature,problem with investment data analytics tool the investment data analytics tool is not functioning co
Request,Technical Support,medium,en,Feature,Documentation,Tech Support,,support inquiry for h2o ai with php 8 0 i am seeking information about the compatibility of h2o ai w
Request,Returns and Exchanges,medium,de,Customer,Marketing,Strategy,Engagement,growth strategies for brands dear customer support i am writing to inquire about digital strategies 
Request,Returns and Exchanges,high,de,Returns,Billing,Refund,Product,rückgaberegelung für ungenutzte projektmanagement saas abonnements sehr geehrte kundenservice ich me
Request,Customer Service,low,de,Documentation,Feature,IT,Tech Support,support for wave integration with microsoft office 365 for project management is the documentation f
Incident,Technical Support,medium,en,Crash,Software,Bug,Resolution,dear customer support i am contacting you to report a problem with our project management software t
Incident,Technical Support,high,de,Technical,Customer,Product,Bug,probleme mit digitalem inhalt in adobe premiere pro 2021 liebe kundensupport ich habe schwierigkeite
Incident,Technical Support,high,en,Technical,Bug,Outage,Resolution,reported issue with website analytics dashboard hello customer support i am contacting you to report
Incident,Technical Support,low,de,Bug,Crash,Performance,IT,temporary crashes in data analysis application the data analysis application is experiencing tempora
Request,Billing and Payments,medium,en,Billing,Product,Sales,Guidance,inquiries about pricing structures for project management tools could you inform me about the variou
Incident,Technical Support,high,de,Technical,Bug,Crash,Documentation,support request for campaign analysis dashboard issue dear customer service i am writing to report a
Problem,Product Support,medium,en,Technical,Customer,Hardware,Bug,issue with anker adapter dear customer support i hope this message finds you well i am writing to in
Incident,Returns and Exchanges,high,de,Bug,Performance,IT,Tech Support,unterstützung wir haben probleme mit dem kritischen bereich der integration insbesondere bei der syn
Incident,Product Support,high,de,Bug,Crash,Performance,Network,request for system crash inquiry a financial firm experienced unexpected system crashes affecting th
Request,Customer Service,high,en,Security,Technical,Customer,Documentation,security protocols for medical data with alteryx hello customer support i would like to gather infor
Incident,Customer Service,medium,en,Network,Performance,IT,Tech Support,router connectivity problems several software applications are encountering connectivity difficultie
Request,Billing and Payments,high,de,Product,Feature,Sales,,quick books können sie details zu rechnungsverbesserungen quickbooks integration projektmanagement u
Request,Sales and Pre-Sales,low,de,Security,Backup,IT,Tech Support,anfrage nach informationen zur sicherung medizinischer daten mit mongodb 4 4 für hospital it bedürfn
Change,Technical Support,high,de,Feature,Feedback,IT,Tech Support,montag support ich möchte eine verbesserung der streaming kamera integration das projektmanagement u
Problem,General Inquiry,medium,en,Security,Bug,Performance,IT,concerns over data security breaches in hospital systems our hospital systems are facing data securi
Problem,Product Support,medium,en,Security,Network,Bug,Performance,incident of security breach exposing medical data a security breach has occurred potentially exposin
Request,Customer Service,high,de,Customer,Product,Feedback,Integration,hilfe bei tools verbessern sie ihre investitionsportfolios mithilfe von integrierten funktionen von 
Problem,Sales and Pre-Sales,low,en,Campaign,Performance,Guidance,Ad,campaign performance issues require assistance hello customer support i am reaching out to notify yo
Problem,Customer Service,low,de,Technical,Product,Bug,Crash,probleme mit dem datenaufbereitungsdashboard sehr geehrte customer support team br br ich muss eine 
Incident,Technical Support,high,en,Breach,Security,Feedback,Incident,concern over potential medical data breach on samsung evo select 256gb microsd card due to malware f
Problem,IT Support,medium,de,Network,Performance,Hardware,IT,connection issues with devices including canon pixma tr8550 and belkin hdmi cable experiencing conne
Problem,Customer Service,medium,en,Performance,Product,Feedback,IT,reduced efficiency experienced reduced efficiency in using the project management software as a resu
Request,Customer Service,low,de,Technical,Product,Integration,Documentation,microsoft dynamics 365 integration details dear customer support i am reaching out to inquire about 
Problem,IT Support,medium,en,Performance,Bug,IT,Tech Support,decelerated data analytics efficiency customer support observing notable reductions in data analytic
Incident,Technical Support,medium,en,Technical,Incident,Integration,API,signal integration failure dear customer support n nwe are encountering problems with signal integra
Request,Billing and Payments,medium,en,Security,Documentation,IT,,request for data security measures information could you provide detailed information on the data se
Change,Product Support,high,de,Technical,Guidance,Feedback,Optimization,enhance website content daily i am writing to seek support in optimizing the content of my website a
Incident,Customer Service,medium,en,Bug,Performance,IT,Tech Support,support for reduced brand engagement our marketing agency has encountered a decline in brand engagem
Request,Human Resources,high,en,Feedback,Feature,Documentation,Training,guidance on using obs studio for investment data presentations dear customer support i am seeking gu
Request,Returns and Exchanges,medium,en,Security,Documentation,IT,Tech Support,enhancing security of medical data requesting detailed information on securing medical data for the 
Incident,Technical Support,high,en,Security,Virus,IT,Tech Support,concern over medical data security there have been unauthorized access attempts on our medical data 
Incident,Technical Support,high,en,Network,Performance,Disruption,IT,problem with google meet noted experiencing connectivity issues during video conferences possibly du
Change,Product Support,medium,en,Security,IT,Tech Support,Documentation,kindly improve security protocols for medical data in hospital it systems
Request,Returns and Exchanges,low,de,Product,Sales,Feedback,Performance,optimierung von unternehmensinvestitionsportfolios welche werkzeuge eignen sich zur optimierung von 
Request,Product Support,medium,en,Technical,Guidance,Implementation,Workflow,guidance on implementing project management workflows dear customer support we are expanding our pro
Change,IT Support,high,de,Feedback,Feature,Sales,,update unserer digitalen marketing tools ich schreibe um eine aktualisierung unserer digitalen marke
Incident,Technical Support,high,de,Technical,Performance,Outage,Maintenance,langsame website ladeproblem es wurde eine plötzliche erhöhung des verkehrs festgestellt was den ser
Incident,IT Support,medium,de,Performance,Network,IT,Tech Support,sap performance issue newly occurring performance issues with sap erp execution for plant analysis r
Request,Billing and Payments,medium,en,Security,IT,Tech Support,Documentation,customer support i am seeking detailed information on the security measures and technologies used to
Request,Billing and Payments,medium,de,Customer,Technical,Feedback,Onboarding,digitale strategien für marken sehr geehrte kundensupport ich stehe in kontakt mit ihnen um mehr übe
Problem,Human Resources,medium,en,Security,Breach,Guidance,Documentation,security concern data breach hello customer support i would like to inform you about a potential dat
Request,Customer Service,low,en,Customer,Strategy,Expansion,Digital,digital strategies for brand expansion i am keen to learn more about your digital strategies for bra
Incident,Technical Support,high,en,Crash,Performance,IT,Tech Support,an unexpected system crash during data analysis customer support br br there was an unexpected syste
Problem,Product Support,low,en,Technical,Outage,Bug,Network,there has been a failure with the data analytics dashboard it might be due to an outdated redis vers
Request,Technical Support,high,de,Feedback,Sales,Product,Documentation,geehrte kundenservice ich such nach informationen zu einer digitalen strategie für markenwachstum kö
Change,IT Support,medium,de,Product,Upgrade,Integration,Performance,erneuerung der softwarewerkzeuge zur verbesserten integration sehr geehrte kundensupport team ich ho
Incident,Sales and Pre-Sales,medium,en,Feedback,Performance,Product,Feature,recent drop in brand engagement metrics our marketing agency has recently observed a significant dec
Incident,Customer Service,high,en,Feedback,Performance,Feature,Documentation,concerns regarding brand engagement drop we are observing a decline in brand engagement metrics acro
Request,Technical Support,high,en,Technical,Performance,Hardware,Software,system performance requirements dear customer support i am writing to inquire about the system speci
Incident,Technical Support,high,de,Technical,Bug,IT,Crash,fehlschlag bei der git synchronisierung in azure die git synchronisierung ist aufgrund einer unkompa
Problem,Product Support,high,en,Technical,Security,Bug,Maintenance,trouble with data encryption the process of encrypting data has encountered difficulties due to an o
Problem,IT Support,medium,en,Bug,Network,Disruption,IT,issue with data synchronization a critical error was encountered during the data syncing process for
Incident,Technical Support,medium,en,Technical,Bug,Security,Crash,assistance required with data encryption issue i am writing to report an issue with data encryption 
Problem,Returns and Exchanges,medium,de,Billing,Performance,Feedback,Resolution,betreff meldung zur unterleistenden investitionserträge ich schreibe ihnen um eine angelegenheit zu 
Incident,IT Support,high,en,Crash,Performance,IT,Tech Support,problem with system crash dear customer support we are encountering a system crash that is hindering
Problem,Technical Support,high,en,Bug,Disruption,Performance,IT,concerns about digital marketing tools the digital marketing tools are not functioning properly whic
Incident,Product Support,medium,de,Technical,Bug,Feature,Guidance,probleme bei der kampagnen analyse plattform das kampagnen analyse dashboard wird nicht geladen das 
Problem,Human Resources,low,en,Breach,Security,Incident,Feedback,medical data breach due to firewall issues an unexpected medical data breach happened due to inadequ
Change,Product Support,high,en,Feature,Performance,Product,Feedback,please update saas compatibility updating saas compatibility will improve performance on various dev
Request,Technical Support,high,en,Strategy,Branding,Product,Online,boosting brand expansion across various products online i am seeking strategies to enhance brand exp
Request,Billing and Payments,medium,de,Billing,Product,Sales,,pricing details for hemingway editor integration i am reaching out to seek detailed information abou
Incident,Product Support,low,en,Bug,Network,Performance,IT,problem with cross user data synchronization users are facing difficulties in syncing project data t
Request,Billing and Payments,medium,en,Billing,Product,Customer,,inquiry on billing options for mongodb integration hello customer support i m writing to seek inform
Request,Technical Support,medium,en,Feature,Documentation,IT,Tech Support,assistance required for figma integration dear customer support we are looking for guidance on integ
Incident,Product Support,high,en,Security,Breach,Medical,Urgent,urgent assistance needed for security breach of medical data dear customer support i am reaching out
Request,Customer Service,low,en,Security,IT,Tech Support,Documentation,healthcare data security solutions inquiry seeking information on data security solutions for health
Request,Billing and Payments,medium,de,Security,Technical,Feedback,Documentation,sicherheitsdienste für medizinische daten sehr geehrte customer support ich bin im zusammenhang mit 
Problem,Product Support,medium,en,Technical,Security,Bug,Documentation,problem with data encryption not working properly respected customer support i am facing difficultie
Request,Billing and Payments,medium,en,Billing,Pricing,Subscription,Information,annual subscription pricing information i would like to know more about the pricing options for annu
Change,Technical Support,high,en,Security,IT,Tech Support,Alert,importance of medical data security customer support please draw attention to the critical importanc
Request,Billing and Payments,high,en,Billing,Payment,,,payment choices could you please list the different payment options for the subscription plans
Problem,Service Outages and Maintenance,high,de,Disruption,Performance,IT,Tech Support,support for it service disruptions facing issues with service disruptions affecting access to medica
Change,General Inquiry,medium,en,Feedback,Sales,Product,,boost digital marketing efforts enhance brand growth and engagement across various platforms refine 
Request,Technical Support,medium,en,Feature,Documentation,Tech Support,,integration details seeking clarification on integration capabilities between our customer support s
Problem,IT Support,medium,en,Security,Breach,Incident,Hardware,health data breach resulting from unapproved access events reinforced firewalls and antivirus softwa
Request,Billing and Payments,high,de,Billing,Payment,Product,Customer,payment plans inquiry dear customer support i am reaching out to seek more information about payment
Request,Customer Service,medium,en,Feature,Sales,Feedback,,digital expansion can you offer details on how digital strategy services could influence brand growt
Problem,IT Support,high,en,Security,IT,Tech Support,Alert,detected unauthorized access to medical data there have been detected unauthorized access attempts t
Problem,Billing and Payments,medium,en,Billing,Account,Charge,Unexpected,unusual billing charges appeared unexpectedly once more today examined account configurations and we
Incident,Billing and Payments,high,en,Billing,Product,Integration,Bug,problem with billing product integration noticing discrepancies in billing for multiple products the
Incident,Customer Service,low,en,Performance,Maintenance,Disruption,IT,problem with delay in adobe creative cloud services noted a delay in accessing adobe creative cloud 
Request,Technical Support,medium,de,Technical,Product,Integration,Marketing,elasticsearch support was sind die notwendigen anforderungen für die integration von elasticsearch 7
Incident,Product Support,low,en,Security,Bug,IT,Tech Support,concern regarding potential security breach in hospital system customer support we are reporting a p
Incident,Technical Support,high,de,Security,Issue,Encryption,Mismatch,issue encountered with data encryption due to potential mismatch in security patches data encryption
Request,Customer Service,medium,de,Customer,Guidance,Feedback,,assistance needed dear name nwe have received your email and are keen to assist you further could yo
Request,Sales and Pre-Sales,low,de,Customer,Product,Feedback,Training,datenanalysetools für investitionsstrategien hochgeschätzter kundenservice ich richte mich an sie um
Incident,Returns and Exchanges,low,en,Security,IT,Tech Support,Performance,security concern in hospital system an unauthorized access attempt was detected in the hospital s sy
Request,Returns and Exchanges,high,en,Technical,Customer,Marketing,Strategy,strategies to boost brand for tech products hello customer support i am writing to seek information 
Problem,Customer Service,low,en,Security,IT,Tech Support,Alert,potential data breach in hospital s medical records system there is a potential data breach that has
Request,Customer Service,high,en,Feature,Documentation,Feedback,IT,integration with discord inquiring about integrating discord for project management saas to improve 
Problem,Product Support,medium,de,Synchronization,Network,Problem,Resolution,probleme mit synchronisation ich habe probleme mit der intermittenten synchronisationsprobleme die m
Incident,Technical Support,high,en,Crash,Server,Technical,Resolution,server crash report the server crashed unexpectedly it may have been due to insufficient resources s
Request,Billing and Payments,medium,de,Feedback,Sales,Feature,Documentation,verbessern der markenwachstumsdienste kontaktieren sie uns für fragen zu digitalen strategien und di
